omega_0,rho_0,alpha_minus,alpha_plus,beta,loss_aversion,tau_base,tau_slope,tau_sigma,tau_post_loss,nll,aic,bic,n_trials,n_pump_opportunities,n_rt_observations,success,partid
58.79004029788325,1.019237450807943,0.1353507814621045,0.10006597648905813,0.1514074243494589,1.3526154064653997,241.8261914145113,3.6189156271878673,0.48707158110398996,1.1845986424523505,3979.4908093754266,7976.981618750853,8029.131319602393,30,1230,1197,True,68009901
103.35958441172036,1.838544437933242,0.20096527432873748,0.21640909977845016,0.06198681944515005,0.9286359701809057,211.07793994125694,1.2060602620591647,0.3037221997914171,1.0671840291963999,3829.52160840841,7677.04321681682,7730.408595526648,30,1468,1310,True,65071901
79.19592675979936,0.9723662002974822,0.11260772846316185,0.10784406806833764,0.11900620870794774,1.044171742406876,149.126449237736,3.230000617042542,0.38896358369583695,0.9556611970866606,3900.0189862430047,7818.0379724860095,7870.965211588084,30,1338,1308,True,68020601
25.509321604973977,1.0659416118419747,0.18413695063795774,0.04903791816713656,0.3997506172937344,3.754991188866571,273.45700697743877,0.48250634694758904,0.4730802873840481,1.0288906811483387,2780.0624666985336,5578.124933397067,5627.341552840534,30,891,861,True,64183501
52.2081256909702,1.2620218448816354,0.162574091294707,0.13413390296207242,0.2261231128994007,1.2120283366441391,173.75789928340305,1.1922546502851143,0.3840191609880137,1.0284921120223343,4370.213954043828,8758.427908087657,8812.491214197398,30,1516,1486,True,65071301
24.873804548128902,0.8164505593178255,0.5,0.3555715946607191,0.09201651663979252,1.4061865669474871,208.41542927363096,1.8579629217372784,0.48418283474583523,1.023459918411158,2286.5246252105853,4591.049250421171,4638.624975853492,30,745,715,True,65029801
61.81175401111753,1.243663550551913,0.15994353399863515,0.053045082823354656,0.1724007027818979,3.015237708861024,181.68823166240855,1.377780683289072,0.24830878262873957,1.0249705564115275,2900.729106930599,5819.458213861198,5870.4668486854625,30,1084,1054,True,64124501
44.637705122097145,0.8963857632684505,0.07293771651128673,0.035263901123421405,0.4817040137522496,2.06833941191048,182.70329632591904,1.5458080310153537,0.2927518236129796,0.9894224037740738,3187.9554002405785,6393.910800481157,6445.529700653654,30,1159,1129,True,65002401
88.50690075836117,0.9699622269455018,0.0687237973855168,0.034129879677716475,0.14393144525865317,2.0135962398480656,215.09404241552892,0.6054281231558791,0.19971920973518761,1.0003772046724955,3323.970485091961,6665.940970183922,6718.4148007443055,30,1273,1243,True,65031201
28.565728765071665,0.7532577355752155,0.11801568183643307,0.0339334940314556,0.6567977388117318,3.4778523463288264,154.15376370995614,2.522851240678611,0.3661717225571385,1.0701087526714728,1642.9800053221263,3303.9600106442526,3349.465588201156,30,595,565,True,65024001
85.81666884624768,0.8783393722039128,0.1593642049433606,0.06627508061175501,0.06340451185750569,2.4045871158864296,168.650707980659,0.12663836195961237,0.4222713780799728,0.9955217889765533,2655.9337932104386,5329.867586420877,5379.476227633397,28,929,901,True,68021301
114.69831274742522,0.782867715185362,0.1486287716050693,0.04918339570082834,0.10975837022344763,3.0219298502515985,167.18131899008105,1.7666384236546815,0.39458219751590917,0.9890233678968859,3100.1972645934497,6218.3945291868995,6269.293044990335,30,1071,1041,True,65065601
66.90807872049089,1.0886127701346187,0.09793540947131436,0.07580899506550834,0.17866192963272193,1.2918705674265445,175.98699832121522,0.5417737525926841,0.33346321174367893,1.0245547436705493,3663.7696032016847,7345.5392064033695,7398.370699921598,30,1324,1294,True,64069501
60.488950035021624,0.5679763563418092,0.17503886447868233,0.14571214281863473,0.24229700438467755,1.2012647751433458,208.26835675407975,0.42040058489325927,0.23784273097488098,1.0216988540479146,3649.281872443202,7316.563744886404,7369.676141070537,30,1366,1335,True,65001101
98.30040628524993,0.21290308854120174,0.21795035950071387,0.1478723467206926,0.14855210767458515,1.4739088432294072,214.17123776742724,0.34048643756857516,0.35263773975527835,0.9546935249635169,3278.3944744492997,6574.788948898599,6626.27709616603,29,1142,1113,True,65013201
58.63427049911794,1.0473398587185543,0.13306937537566396,0.05717797938203449,0.291783198144387,2.3272836293595014,202.33634112061262,2.7512706014468407,0.33928600370467304,1.0859679559209086,3503.1268097837756,7024.253619567551,7076.128461157933,30,1192,1162,True,68010001
31.747582792675086,1.2490087050036314,0.2526176156348169,0.4141881499063081,0.08127236551629015,0.6099102924406711,252.37684902415066,5.0,0.5859270685455359,1.2041694030274164,2579.5590101426874,5177.118020285375,5225.068045131169,30,776,746,True,64069001
63.740930656026805,1.3569726866612766,0.2969705587998172,0.10673722374634528,0.11423712003444184,2.7822586008565318,179.732062601443,2.3296622869913257,0.343684372357702,1.0990113954393945,3176.505839574166,6371.011679148332,6422.120780132125,30,1096,1066,True,68002701
93.0789099394876,0.8844772463274869,0.06368872524594707,0.05078127805741193,0.13945323631385897,1.2541772811220373,185.38132474361234,2.4547898486513358,0.39515646369865853,0.9444325785641143,4340.829867398729,8699.659734797458,8753.380840827416,30,1461,1429,True,65039401
48.91247923787399,0.7345388970650233,0.1911286712496325,0.016002644883753542,0.3137465755770397,11.943567618854878,384.6023430790877,5.0,0.3363215897284559,0.8371514946221034,1936.8741626650458,3891.7483253300916,3937.5139039756646,30,612,582,True,68000901
14.957667541248334,1.068105003981203,0.3773239560189583,0.053080151355179815,0.45522203599942745,7.108569707990051,185.66267038009363,3.7905746303447403,0.4313553135958497,0.9965052588261226,1827.2067671296247,3672.4135342592494,3718.239213295106,30,616,586,True,68036901
