bart_param,predictor,r,p,n,abs_r
rho_0,ses_moth,0.008721449210543016,0.7372701497851192,1482,0.008721449210543016
sigma,MTr.3,0.008621447730416633,0.7384028781130457,1503,0.008621447730416633
alpha_minus,income,-0.008470788778130513,0.7433078132677454,1497,0.008470788778130513
alpha_plus,OSpcOp,0.00839324504772167,0.7462343950292052,1489,0.00839324504772167
rho_0,SOEPhea,0.008362632142267484,0.7456545291005754,1507,0.008362632142267484
omega_0,SOEPfin,0.008335183145380301,0.746460672489442,1507,0.008335183145380301
omega_0,ses_fath,-0.008203394730804035,0.7555298241589267,1443,0.008203394730804035
alpha_minus,BIS1att,-0.008014672794140119,0.7558939737954522,1507,0.008014672794140119
sigma,PRI,0.00792258345066233,0.7586111659603004,1507,0.00792258345066233
mean_pumps,MTr.1,0.0076242093223970585,0.767735791688963,1503,0.0076242093223970585
sigma,Dgam_r,0.00742510046800626,0.7733406771012612,1507,0.00742510046800626
alpha_minus,birthrank,-0.0071536693072521695,0.7821213947927191,1497,0.0071536693072521695
alpha_minus,sibl_o,-0.007153669307252161,0.7821213947927191,1497,0.007153669307252161
rho_0,sibl_y,-0.007129433762686077,0.7828410186738514,1497,0.007129433762686077
mean_pumps,Hexp,0.007080514853872017,0.78387229063775,1503,0.007080514853872017
alpha_minus,DAST,-0.006957362925433724,0.7872643726223988,1507,0.006957362925433724
sigma,OSpcOp,0.00687510812508516,0.7909524549609113,1489,0.00687510812508516
alpha_plus,BIS2mot,-0.00680256352906331,0.7918877142904033,1507,0.00680256352906331
omega_0,SOEPdri,-0.006754222746936184,0.7933330000930146,1507,0.006754222746936184
explosion_rate,switches,0.006512635124778737,0.8006962983383022,1505,0.006512635124778737
rho_0,MTr.3,0.006481984227452569,0.8017440232327319,1503,0.006481984227452569
rho_0,R_sh1,-0.006474832365306691,0.8016999253919864,1507,0.006474832365306691
rho_0,BIS1mot,-0.0064169756254921426,0.8034354432868814,1507,0.0064169756254921426
alpha_plus,samples,0.0063655063761350016,0.8049801712940224,1507,0.0063655063761350016
rho_0,MTr.2,-0.006210090819278426,0.8098975566495109,1503,0.006210090819278426
mean_pumps,NEO_C,0.006200687252802998,0.9167020461731274,287,0.006200687252802998
sigma,switches,0.0061316381809216,0.812131327813046,1505,0.0061316381809216
mean_pumps,ses_moth,-0.006117484592184759,0.8139706315018748,1482,0.006117484592184759
sigma,ses,0.005842695952482944,0.820713206472261,1507,0.005842695952482944
rho_0,R_lot,-0.00583661453494133,0.82089665363206,1507,0.00583661453494133
sigma,ses_moth,-0.005804391306070267,0.8233303892205561,1482,0.005804391306070267
alpha_minus,OSrtLet,-0.005741629283417878,0.8248033844651876,1489,0.005741629283417878
rho_0,SSTM,0.005734959584475946,0.8253514273878377,1483,0.005734959584475946
rho_0,Dinv_b,-0.005611358014023585,0.8276983741994101,1507,0.005611358014023585
rho_0,famstat,0.005494332672828934,0.831790526190251,1497,0.005494332672828934
explosion_rate,BMI,-0.005463363094890862,0.8355059359997015,1447,0.005463363094890862
omega_0,ses_moth,-0.005438404313729213,0.8343031971780661,1482,0.005438404313729213
alpha_minus,rt_decision_dfe,0.005399466424522169,0.8341083497162818,1507,0.005399466424522169
sigma,edu,0.005367534611693355,0.8356164628280026,1497,0.005367534611693355
sigma,dif.risk.fx.bias,0.005357455531970422,0.8357584947450634,1500,0.005357455531970422
sigma,dif.amb.fx.bias,0.005357455531970422,0.8357584947450634,1500,0.005357455531970422
omega_0,Dhea_r,0.005296035828384624,0.8372412822739317,1507,0.005296035828384624
rho_0,Deth_b,0.005201480550056643,0.8401076388004077,1507,0.005201480550056643
rho_0,R_sh2,0.005092391519616598,0.843417203788466,1507,0.005092391519616598
alpha_plus,sibl_o,0.004862228781657416,0.8509010549956469,1497,0.004862228781657416
alpha_plus,birthrank,0.004862228781657411,0.8509010549956469,1497,0.004862228781657411
alpha_minus,ses_fath,-0.004823531474641974,0.8547407442107393,1443,0.004823531474641974
sigma,sibl_y,-0.004788632792291916,0.8531320212767968,1497,0.004788632792291916
alpha_minus,BMI,0.004755657900445997,0.8565659206017903,1447,0.004755657900445997
omega_0,PG,0.004750732931777377,0.8538001364983651,1507,0.004750732931777377
explosion_rate,Hexp,0.004622561134480601,0.8578891602602124,1503,0.004622561134480601
explosion_rate,BIS1ins,0.004562274318154555,0.8595383197171956,1507,0.004562274318154555
sigma,BIS1per,0.004519512292824747,0.8608413803232955,1507,0.004519512292824747
rho_0,dif.risk.fx.bound,-0.004517422718359991,0.8612257351830385,1500,0.004517422718359991
rho_0,household,-0.00442569284095773,0.8641509105859033,1497,0.00442569284095773
alpha_minus,sibl_y,-0.004417878395533232,0.8643884563533247,1497,0.004417878395533232
rho_0,AUDIT,-0.004373391407290832,0.8652968670320599,1507,0.004373391407290832
alpha_plus,SSrtOp,-0.004373300202755279,0.8661002052839123,1489,0.004373300202755279
omega_0,R_sh2,0.003942410647370803,0.8784626506211406,1507,0.003942410647370803
mean_pumps,sibl_y,0.003925233806888752,0.8793878467905388,1497,0.003925233806888752
rho_0,rt_decision,0.003921042852631137,0.8791163086551577,1507,0.003921042852631137
alpha_plus,CAREwork,0.003839847557909977,0.8816008850395488,1507,0.003839847557909977
alpha_plus,famstat,-0.003431526412910763,0.8944630991072758,1497,0.003431526412910763
omega_0,Deth_r,0.003417521080432521,0.8945423141537392,1507,0.003417521080432521
rho_0,swrate,0.0033951712662369767,0.8952972575464925,1505,0.0033951712662369767
alpha_plus,Dsoc_r,-0.003318467487789898,0.8975818267760589,1507,0.003318467487789898
mean_pumps,Dgam_b,0.0032855926702893726,0.8985909423368764,1507,0.0032855926702893726
explosion_rate,sibl_y,0.003235162735087624,0.9004699367098733,1497,0.003235162735087624
explosion_rate,Dgam_b,0.003210284518910382,0.900903193735104,1507,0.003210284518910382
