bart_param,predictor,r,p,n,abs_r
beta,sibl_o,0.03916612646070927,0.7017960558886132,98,0.03916612646070927
beta,birthrank,0.03916612646070926,0.7017960558886132,98,0.03916612646070926
omega_0,NEO_C,-0.03909629662885605,0.8815728284847286,17,0.03909629662885605
loss_aversion,CCTpayoff,0.03903978006707832,0.6997658202356446,100,0.03903978006707832
alpha_minus,MTr.2,-0.03890720947298804,0.7022016668434246,99,0.03890720947298804
alpha_minus,MTr.3,-0.038753657158572055,0.7033219686872598,99,0.038753657158572055
alpha_minus,dif.risk.fx.bound,-0.03855983974144397,0.704736946123518,99,0.03855983974144397
omega_0,dif.amb.fx.bias,0.038200317193427244,0.7073643270598672,99,0.038200317193427244
omega_0,dif.risk.fx.bias,0.038200317193427244,0.7073643270598672,99,0.038200317193427244
rho_0,SOEP,0.037957578492506916,0.7077060240289099,100,0.037957578492506916
alpha_minus,R_dfe,-0.03770457102348081,0.709566920942504,100,0.03770457102348081
alpha_minus,NEO_N,-0.03714965019500638,0.887433309795408,17,0.03714965019500638
beta,famstat,-0.03692455430824226,0.7181237008637523,98,0.03692455430824226
beta,BIS,0.036781809853181247,0.7163683227926724,100,0.036781809853181247
alpha_plus,Drec_b,-0.03650601864434711,0.7184054353120479,100,0.03650601864434711
alpha_plus,CCTaratio,0.036371206254539386,0.719401936195007,100,0.036371206254539386
alpha_plus,edu,-0.036300774315451444,0.722690326569573,98,0.036300774315451444
beta,dif.perc.bound,0.036266728960184416,0.7215531538533586,99,0.036266728960184416
alpha_minus,SOEPsoc,-0.03622117619823416,0.7205114746955577,100,0.03622117619823416
alpha_plus,dif.risk.fx.bound,-0.03608235529120432,0.7229111319318671,99,0.03608235529120432
loss_aversion,ses,0.03607922049176662,0.7215618336337117,100,0.03607922049176662
alpha_minus,Dm,-0.035941632992823096,0.7225803649495212,100,0.035941632992823096
loss_aversion,SOEPsoc,0.035921690515376185,0.7227280351369643,100,0.035921690515376185
beta,R_dfe,-0.0357731367523424,0.7238283666858489,100,0.0357731367523424
loss_aversion,Deth_b,0.0357058797076797,0.7243267218348198,100,0.0357058797076797
beta,SSTM,0.03569577049676047,0.7257612535942366,99,0.03569577049676047
alpha_minus,SSrtLet,0.035506377279423136,0.7271589359588546,99,0.035506377279423136
loss_aversion,dif.amb.fx.bias,-0.035398537143167826,0.7279551734826392,99,0.035398537143167826
loss_aversion,dif.risk.fx.bias,-0.035398537143167826,0.7279551734826392,99,0.035398537143167826
rho_0,SStas,-0.03498558700049801,0.7296710565766078,100,0.03498558700049801
rho_0,Dy,-0.034959709053060686,0.7298633050175388,100,0.034959709053060686
loss_aversion,rt_sample,-0.034760862123570276,0.7313411048069476,100,0.034760862123570276
loss_aversion,PRIw,0.034748086558359086,0.7314360844721343,100,0.034748086558359086
omega_0,BIS1per,-0.03441201219666199,0.7339360736533498,100,0.03441201219666199
loss_aversion,Dgam_b,-0.03415558922203757,0.7358454236133816,100,0.03415558922203757
alpha_plus,MTr.3,-0.033761263478499205,0.7400790508332593,99,0.033761263478499205
omega_0,dif.risk.fx.bound,0.03374304314116998,0.7402143356146414,99,0.03374304314116998
beta,Dsoc,0.03374266683724914,0.7389234579309165,100,0.03374266683724914
alpha_minus,Dinv_b,0.03355481528826509,0.7403251215347331,100,0.03355481528826509
loss_aversion,MTr.2,0.033015764725706685,0.7456207483901409,99,0.033015764725706685
alpha_plus,BIS2att,0.032840436616748535,0.7456632138709101,100,0.032840436616748535
omega_0,R_sh2,0.03278473939290667,0.746079912770681,100,0.03278473939290667
loss_aversion,FTND,-0.03276419216379609,0.7462336553811381,100,0.03276419216379609
omega_0,SOEP,-0.03272223531088465,0.7465476242729652,100,0.03272223531088465
omega_0,SOEPhea,0.031915554098058616,0.7525921294043796,100,0.031915554098058616
alpha_plus,BIS1att,0.03184006930261226,0.7531585123809508,100,0.03184006930261226
alpha_minus,t_diff,-0.031633193789034106,0.9040699286015687,17,0.031633193789034106
alpha_minus,H_lot,-0.03162841916791128,0.7547472777667841,100,0.03162841916791128
alpha_minus,SOEPdri,0.03160392245906724,0.7549312300216894,100,0.03160392245906724
alpha_plus,Dinv,0.03157125910712777,0.7551765290446528,100,0.03157125910712777
rho_0,AUDIT,0.03138329421039844,0.7565886013462436,100,0.03138329421039844
loss_aversion,MTr,-0.031225444958062506,0.7589817080831207,99,0.031225444958062506
alpha_plus,SSbor,0.030871040747659208,0.7604409189878655,100,0.030871040747659208
omega_0,R_lot,0.030763779522982492,0.7612483040495253,100,0.030763779522982492
alpha_plus,OSrtOp,-0.030700711536627928,0.7629113970582542,99,0.030700711536627928
loss_aversion,SSTM,-0.030551045291545124,0.7640333445617551,99,0.030551045291545124
loss_aversion,OSpcLet,0.03050536841646833,0.7643758507500642,99,0.03050536841646833
alpha_minus,SStas,-0.030422380794549248,0.7638198076866849,100,0.030422380794549248
omega_0,edu,-0.029800754023760794,0.7708280568517752,98,0.029800754023760794
rho_0,Hexp,-0.029788571949991228,0.7686006083231348,100,0.029788571949991228
alpha_plus,NEO_O,-0.029754923051972037,0.9097434064191596,17,0.029754923051972037
beta,SOEPsoc,-0.029581403045646517,0.7701651676798851,100,0.029581403045646517
loss_aversion,Dsoc_b,0.029516184442781743,0.770657895798189,100,0.029516184442781743
beta,SSSV,-0.02947386571113496,0.7709776636066942,100,0.02947386571113496
alpha_minus,NEO_E,0.02937525307562004,0.9108907419211121,17,0.02937525307562004
beta,Dy,-0.028953345495272727,0.7749139254495527,100,0.028953345495272727
rho_0,BMI,-0.028538824539805593,0.7825361326443819,96,0.028538824539805593
rho_0,OSrtLet,0.02853535739317978,0.7791902534673918,99,0.02853535739317978
beta,SOEPdri,-0.02803462159387892,0.7818753301882776,100,0.02803462159387892
alpha_plus,sibl_o,-0.027870394369229314,0.7853023641586839,98,0.027870394369229314
alpha_plus,birthrank,-0.027870394369229314,0.7853023641586839,98,0.027870394369229314
rho_0,BIS1ctr,0.027577052995689685,0.7853489107178361,100,0.027577052995689685
loss_aversion,sibl_y,-0.027563702893025777,0.7876088944786102,98,0.027563702893025777
rho_0,dif.amb.fx.bias,0.027425559872961733,0.7875711703397924,99,0.027425559872961733
rho_0,dif.risk.fx.bias,0.027425559872961733,0.7875711703397924,99,0.027425559872961733
beta,Dsoc_b,0.02736840314083455,0.7869342552668911,100,0.02736840314083455
beta,SOEP,-0.02726411326233574,0.7877269877157247,100,0.02726411326233574
beta,Dgam_r,-0.02711593916071575,0.7888536669656445,100,0.02711593916071575
loss_aversion,dif.perc.bound,-0.027084866817349507,0.7901489147813548,99,0.027084866817349507
loss_aversion,famstat,-0.026834993752424034,0.7930966118586258,98,0.026834993752424034
rho_0,MTr,0.026793734835799297,0.7923534649512974,99,0.026793734835799297
alpha_plus,H,0.026791322836946446,0.791323486520336,100,0.026791322836946446
alpha_plus,Dinv_b,0.026767672922845688,0.7915035061232538,100,0.026767672922845688
loss_aversion,BMI,-0.026328100313806568,0.7990115070368583,96,0.026328100313806568
rho_0,ses_moth,-0.026252622730157868,0.7954266910958684,100,0.026252622730157868
omega_0,CCTacards,0.02545625865110542,0.8015026741156671,100,0.02545625865110542
omega_0,R,0.025091533628095887,0.8042893754828621,100,0.025091533628095887
beta,ses,-0.024923279578694398,0.805575757824529,100,0.024923279578694398
alpha_plus,PRIw,-0.024359545374266423,0.8098895328197796,100,0.024359545374266423
rho_0,SOEPocc,-0.02428733647293332,0.8104424996858332,100,0.02428733647293332
alpha_plus,BIS1com,0.024151530686512056,0.8114827358191108,100,0.024151530686512056
alpha_plus,Dm,-0.023976916444416775,0.8128207158081522,100,0.023976916444416775
beta,FTND,-0.02368415896133419,0.8150651729628029,100,0.02368415896133419
alpha_plus,CCTpayoff,-0.02352100770462837,0.8163166398491053,100,0.02352100770462837
beta,AUDIT,0.02297432872044332,0.8205133375394311,100,0.02297432872044332
rho_0,H_dfe,-0.022572231000065272,0.8236033661005189,100,0.022572231000065272
omega_0,Dhea,0.022463299227479937,0.8244409475831982,100,0.022463299227479937
beta,sibl,-0.021972838949097018,0.8299583288131607,98,0.021972838949097018
rho_0,MTr.3,0.021703926802152225,0.8311445906095285,99,0.021703926802152225
alpha_minus,SOEPhea,-0.021688139341818242,0.8304068197155662,100,0.021688139341818242
rho_0,Dinv_b,-0.021461237996356873,0.8321549619250274,100,0.021461237996356873
omega_0,Dsoc_b,-0.02139752391883848,0.8326459890575229,100,0.02139752391883848
rho_0,SOEPhea,0.021359923493264203,0.8329357955309543,100,0.021359923493264203
rho_0,SOEPfin,0.021176612775939966,0.8343489881725196,100,0.021176612775939966
loss_aversion,samples,-0.020958642456705347,0.8360300666972327,100,0.020958642456705347
omega_0,OSpcLet,-0.02070143810324527,0.8388360462252299,99,0.02070143810324527
rho_0,NUM,0.020531039988820426,0.8393300526411278,100,0.020531039988820426
beta,BIS2npl,0.020462351045974398,0.8398604146960942,100,0.020462351045974398
alpha_minus,R_sh2,0.020449360883662195,0.8399607225819106,100,0.020449360883662195
omega_0,SSrtLet,0.020385442993173433,0.8412636560118156,99,0.020385442993173433
beta,SSbor,0.020373204048578997,0.8405488445017797,100,0.020373204048578997
loss_aversion,Rexp,-0.020147815527881092,0.8447037619319497,97,0.020147815527881092
rho_0,NEO_A,0.02011224460415171,0.9389293155433193,17,0.02011224460415171
beta,BIS1att,-0.019687609212412263,0.8458472655856835,100,0.019687609212412263
alpha_plus,BIS1ins,0.019469321377706177,0.8475356933391863,100,0.019469321377706177
alpha_plus,SSpcOp,0.01906741794270139,0.85140506868105,99,0.01906741794270139
rho_0,Deth_r,0.018860068782590684,0.8522518052169937,100,0.018860068782590684
omega_0,Dhea_b,0.01877589076232586,0.8529038248233929,100,0.01877589076232586
beta,BIS1com,-0.018528151024857418,0.8548233208003291,100,0.018528151024857418
beta,dif.risk.fx.bound,0.018002668152478515,0.8596154636012932,99,0.018002668152478515
omega_0,H,0.01793818228320601,0.859397805978061,100,0.01793818228320601
rho_0,switches,0.017757432975085908,0.8608002332187473,100,0.017757432975085908
omega_0,BIS1com,0.01742939721660631,0.8633465519457195,100,0.01742939721660631
beta,OSrtLet,0.01736273321827907,0.8645573246577712,99,0.01736273321827907
rho_0,dif.perc.bound,0.01703494154057634,0.8670907109640569,99,0.01703494154057634
beta,Dinv_b,0.016933735602095882,0.8671966809303209,100,0.016933735602095882
alpha_minus,income,-0.016694568416174938,0.8703935090492567,98,0.016694568416174938
loss_aversion,dif.amb.fx.bound,0.016394436280058912,0.8720448078732073,99,0.016394436280058912
loss_aversion,BIS2npl,0.016325563675570257,0.8719249836183944,100,0.016325563675570257
beta,BIS2att,-0.016058762609710037,0.8740006921940591,100,0.016058762609710037
alpha_plus,MTr,0.016017290657253554,0.8749642304544575,99,0.016017290657253554
alpha_minus,switches,0.015888569264044347,0.8753252411484633,100,0.015888569264044347
alpha_plus,Dhea_b,-0.01587048018550011,0.8754660417332643,100,0.01587048018550011
omega_0,STAI_trait,-0.015749029426559084,0.9521619774259079,17,0.015749029426559084
omega_0,DAST,0.015623477879216512,0.8773890286408066,100,0.015623477879216512
omega_0,SOEPrec,0.015305859632807648,0.8798628277149926,100,0.015305859632807648
alpha_minus,MTr,-0.0152023758259869,0.881278026151199,99,0.0152023758259869
