rt_mean,rt_sd,rt_cv,rt_median,rt_first_mean,rt_first_sd,rt_late_mean,rt_trend_mean,rt_trend_sd,rt_skew,partid,rt_post_explosion,rt_post_success,rt_explosion_effect
288.87369337979095,212.03371199469072,0.7340014575710209,222.0,269.6551724137931,85.78894545861552,466.2068965517241,7.1843719577934895,8.230571458821034,5.987050684236377,64000401,277.9,245.94117647058823,31.958823529411745
245.3139686684073,235.02470563577862,0.9580567584941044,197.0,200.6206896551724,41.49400770456434,372.4206896551724,2.173317627475935,3.551173902716624,6.6669587369544745,64004701,200.15384615384616,187.8,12.353846153846149
222.63184584178498,120.04881258759814,0.5392256985234347,198.0,201.41379310344828,47.44544398124949,326.00689655172414,3.559487144787903,5.458039328407552,6.030492550986331,64006401,209.16666666666666,190.45454545454547,18.71212121212119
269.3023474178404,82.33104277742551,0.3057197368193878,255.0,268.13793103448273,104.10098682427724,346.50344827586207,2.7597198813871926,2.817585837103226,5.9549074799545485,64006901,250.28571428571428,248.1904761904762,2.0952380952380736
306.7259528130671,243.97005491055182,0.7954007565158282,228.0,265.7931034482759,248.8699119136057,482.46206896551723,7.0874475663677226,5.363926592010367,5.45877177895854,64007901,436.42857142857144,212.0,224.42857142857144
186.26073619631902,146.01207338750498,0.7839122531632652,165.0,175.0344827586207,56.4150155840903,293.4758620689655,1.7023999778600305,2.049471410279263,8.935332424743544,64008701,163.63636363636363,183.76470588235293,-20.1283422459893
274.76260162601625,193.92800331896453,0.7058020348159427,228.0,214.55172413793105,16.25568591642799,461.151724137931,5.185168050559251,5.68259253542695,9.010839372228089,64011501,217.41666666666666,214.4375,2.979166666666657
247.84302788844622,355.62940789277053,1.4348977694576859,206.0,214.89655172413794,71.23266628963205,323.8758620689655,2.0701452608938316,2.957026574469802,26.269051151491816,64015601,216.5,195.88888888888889,20.611111111111114
218.27744510978044,213.04255117941443,0.9760172475551325,162.5,180.9655172413793,77.17221349084973,380.82068965517243,5.771644929332,7.200725974180522,11.449263998515134,64016901,166.16666666666666,166.6818181818182,-0.5151515151515298
244.91509433962264,164.76431335259116,0.6727405421738247,200.0,185.93103448275863,9.79771625213915,427.77241379310345,9.177884727581882,7.719347565057364,6.042230514592435,64018301,194.25,182.8,11.449999999999989
152.14872139973082,134.17115115102635,0.8818421207663446,130.0,204.41379310344828,146.29858868468145,245.70344827586206,0.6312393675052033,1.9645575292047608,10.794016337540809,64020401,209.15384615384616,201.0,8.15384615384616
533.0104438642297,948.5248805261185,1.779561529131557,305.0,365.6896551724138,186.1484582629526,1352.296551724138,132.87514919451422,236.9148786951206,7.485256115917479,64020501,388.3333333333333,343.64,44.69333333333333
495.2953995157385,166.75110827093818,0.3366700123481351,472.0,442.0344827586207,88.27288518687502,559.096551724138,4.609121967036613,9.989361658093882,14.51204141319296,64021901,426.4,432.30434782608694,-5.904347826086962
221.79133858267716,190.66658805096293,0.8596665193031789,186.0,188.72413793103448,43.44310314035744,341.1034482758621,5.148671486726582,10.20237002399135,10.178330338607262,64022901,187.33333333333334,185.22727272727272,2.1060606060606233
192.1772784019975,159.49491449070766,0.8299363786236753,151.0,197.68965517241378,195.6968280623736,311.2896551724138,8.955530843905045,10.731217699255192,5.9026867153747915,64025601,159.0,161.1304347826087,-2.1304347826086882
232.1752738654147,85.11500430745646,0.3665980571074729,210.0,243.24137931034483,95.13643747812158,288.09655172413795,2.083383345976873,6.083664918126725,4.585321234015548,64026901,215.45454545454547,247.0,-31.545454545454533
243.08744710860367,81.89076092794978,0.33687778575980365,228.0,229.89655172413794,72.07483889612587,287.3586206896552,1.7896786184419382,5.32623736462212,7.562532405199383,64027801,215.0625,218.5,-3.4375
308.9628482972136,527.136095345439,1.7061471897046625,180.0,389.0344827586207,641.9733307791134,429.86206896551727,10.950386157880361,34.25660508057437,9.771245684795229,64029901,,270.85714285714283,
280.05187319884726,416.6436222624744,1.4877373163172594,176.0,214.5,224.81714792248388,454.49285714285713,9.674190155662249,23.359733914709196,8.46440647935403,64031301,203.0,164.36363636363637,38.636363636363626
426.7940780619112,347.7907848194191,0.8148913087050103,268.0,543.2758620689655,451.94139813519496,690.0902777777778,19.780709823492206,48.27532964539158,2.9810926182875015,64034901,395.3333333333333,541.0,-145.66666666666669
235.88838883888388,116.5145102865096,0.493939150036296,216.0,245.89655172413794,81.9694412476639,340.53793103448277,7.782409111249193,19.23777954199929,10.460316159268656,64036201,238.88888888888889,232.26315789473685,6.625730994152036
245.73705179282868,151.7452605036875,0.6175107066541109,213.0,261.0344827586207,134.0657282850264,347.9172413793103,2.983279850255712,4.950956355432242,7.432918127696379,64036701,206.28571428571428,261.5238095238095,-55.23809523809524
163.19537480063795,74.83870552485685,0.4585834961087653,156.0,174.68965517241378,50.169439418885595,226.71724137931034,1.0946750633043694,1.6809679566921025,6.893608917179289,64037701,194.66666666666666,164.73684210526315,29.929824561403507
352.24931506849316,426.78251595418993,1.2115921811549986,224.0,752.6785714285714,1773.4676696390893,664.2158273381295,4.932363398927173,15.293643903341154,12.191458678974636,64039601,269.375,946.0,-676.625
183.46082474226804,153.13554070209804,0.834704307675647,154.0,155.27586206896552,39.055130398754706,293.048275862069,6.144790787601386,8.397527416788572,10.002210040676143,64042701,174.125,148.6,25.525000000000006
216.75375939849624,307.94115229267527,1.420695784687791,182.0,216.24137931034483,196.9159903442834,320.6413793103448,1.7532269232992286,1.7139804630208166,21.734024409445105,64046301,172.16666666666666,181.0,-8.833333333333343
492.8641221374046,176.22428850137865,0.35755146415841044,503.5,468.1034482758621,131.15043871187123,549.6413793103449,1.1365623485364431,3.4636387641302826,5.2540611297464945,64047801,487.3636363636364,440.05882352941177,47.304812834224606
211.9256544502618,126.22683695643804,0.5956184836794407,182.0,202.79310344827587,114.6173180963941,296.6620689655172,3.2812343839384015,3.013821164641042,5.510381762212855,64049601,184.0,180.5909090909091,3.4090909090909065
