partid,rt_mean,rt_median,rt_first_mean,rt_slope_mean,rt_sd,rt_cv,log_rt_sd,rt_post_exp,rt_post_success,rt_post_loss_ratio
64000401,281.26181474480154,218.0,258.2142857142857,7.559693845649292,202.05840664274618,0.7183997117635065,0.39107183884195584,273.90909090909093,246.6875,1.1103484810097428
64004701,245.3139686684073,197.0,200.6206896551724,2.173317627475935,235.02470563577862,0.9580567584941044,0.394234808185915,200.14285714285714,186.92857142857142,1.0706916316392816
64006401,222.63184584178498,198.0,201.41379310344828,3.559487144787902,120.04881258759814,0.5392256985234347,0.2843028458881982,209.16666666666666,190.45454545454547,1.098249801113763
64006901,269.3023474178404,255.0,268.13793103448273,2.7597198813871926,82.33104277742551,0.3057197368193878,0.18852561838963783,250.28571428571428,248.1904761904762,1.0084420567920183
64007901,306.7259528130671,228.0,265.7931034482759,7.087447566367722,243.97005491055182,0.7954007565158282,0.4447016733818985,436.42857142857144,212.0,2.0586253369272236
64008701,186.26073619631902,165.0,175.0344827586207,1.702399977860031,146.01207338750498,0.7839122531632652,0.2906025198936903,163.63636363636363,183.76470588235293,0.8904667675474334
64011501,274.76260162601625,228.0,214.55172413793105,5.185168050559251,193.92800331896453,0.7058020348159427,0.3424124782127864,218.07692307692307,213.66666666666666,1.0206408256330253
64015601,238.94019138755982,206.0,214.89655172413794,2.205311177718311,164.6244397159714,0.6889776004613278,0.2902173277384789,213.0,196.94117647058823,1.081541218637993
64016901,218.47752247752248,163.0,180.9655172413793,5.753629416006408,213.05482718040176,0.9751796192320946,0.4433501370825625,167.57142857142858,166.23809523809524,1.0080206244629046
64018301,244.91509433962264,200.0,185.93103448275863,9.177884727581882,164.76431335259116,0.6727405421738247,0.3505078488632485,194.11111111111111,182.26315789473685,1.0650046523566592
64020401,152.14872139973082,130.0,204.41379310344828,0.6312393675052033,134.17115115102635,0.8818421207663446,0.32750659223952955,209.15384615384616,201.0,1.040566398775354
64020501,454.76253298153034,301.5,365.6896551724138,51.26726421091961,500.82355033468355,1.101285866826289,0.6170586561439473,388.3333333333333,343.64,1.130058588445272
64021901,495.2953995157385,472.0,442.0344827586207,4.609121967036612,166.75110827093818,0.3366700123481351,0.1897143860793877,479.3333333333333,432.30434782608694,1.1087867511482115
64022901,221.79133858267716,186.0,188.72413793103448,5.148671486726581,190.66658805096293,0.8596665193031789,0.3330202228319503,186.71428571428572,185.33333333333334,1.0074511819116136
64025601,192.1772784019975,151.0,197.68965517241378,8.955530843905045,159.49491449070766,0.8299363786236753,0.4120604651947849,157.5,161.63636363636363,0.9744094488188977
64026901,232.1752738654147,210.0,243.24137931034483,2.0833833459768734,85.11500430745646,0.3665980571074729,0.24080417353803052,214.33333333333334,249.8125,0.8579768159452923
64027801,243.08744710860367,228.0,229.89655172413794,1.7896786184419382,81.89076092794978,0.33687778575980365,0.1991528765621276,214.94117647058823,219.0,0.9814665592264303
64029901,286.2577639751553,180.0,389.0344827586207,12.521628157402487,334.26074735500936,1.1676914635021753,0.5579424445874072,678.0,255.77777777777777,2.6507384882710685
64031301,270.7835497835498,176.0,214.5,9.73696966938161,337.97416914298293,1.2481340517662236,0.5338897299904571,197.66666666666666,164.04761904761904,1.2049346879535558
64034901,426.7940780619112,268.0,543.2758620689655,21.008961208889023,347.7907848194191,0.8148913087050103,0.583028359879543,442.5,539.2083333333334,0.820647554284831
64036201,235.88838883888388,216.0,245.89655172413794,7.782409111249193,116.5145102865096,0.493939150036296,0.23136232431710477,238.88888888888889,232.26315789473685,1.0285268273031698
64036701,245.73705179282868,213.0,261.0344827586207,2.983279850255711,151.7452605036875,0.6175107066541109,0.3075477000344203,259.75,261.5238095238095,0.9932174071376548
64037701,163.19537480063795,156.0,174.68965517241378,1.0946750633043694,74.83870552485685,0.4585834961087653,0.27116539790760563,199.7,160.27777777777777,1.2459618717504333
64039601,339.3586459286368,223.0,411.60714285714283,11.029208773674657,284.68708590463785,0.8388974004938252,0.5166280998488946,269.375,468.5,0.5749733191035219
64042701,183.46082474226804,154.0,155.27586206896552,6.144790787601386,153.13554070209804,0.834704307675647,0.3412170727043492,174.125,148.6,1.1717698519515478
64046301,208.6453433678269,182.0,216.24137931034483,1.0408425212625516,157.99613965314475,0.7572473801852783,0.30406078433674677,173.85714285714286,180.85714285714286,0.9612954186413902
64047801,492.8641221374046,503.5,468.1034482758621,1.136562348536443,176.22428850137868,0.3575514641584105,0.3765416194710866,498.9166666666667,428.4375,1.1645027960126428
64049601,211.9256544502618,182.0,202.79310344827587,3.281234383938402,126.22683695643805,0.5956184836794407,0.33364634514777153,183.71428571428572,180.52380952380952,1.0176734370878397
64049701,266.18,221.5,307.58620689655174,4.623869974318289,159.94960956501268,0.6009076924074411,0.3416826124822384,237.16666666666666,226.0,1.0494100294985251
64051301,403.55896007428044,248.0,431.41379310344826,12.089294828520718,334.081422622595,0.8278379510173751,0.5801160616346197,418.5,426.35,0.9815878972675032
64051501,255.73187840997662,214.0,276.55172413793105,0.6399810986840014,139.4966839650155,0.5454802304364315,0.3394218758363762,208.7,284.55555555555554,0.7334244435767279
64052901,311.76,248.0,271.41379310344826,9.781557956724212,286.12903471207386,0.9177862288685972,0.40623324646887116,283.375,250.0,1.1335
64053701,278.1461352657005,208.0,209.10344827586206,16.39549205831117,170.57695260622447,0.6132637882718737,0.4209108258091674,217.2,207.91304347826087,1.0446675031367627
64055001,258.1367924528302,162.0,249.44827586206895,7.660405797285126,285.3653949698797,1.1054812925283597,0.5681328441401832,166.625,245.65,0.6783024628536536
