partid,n_trials,mean_pumps,sd_pumps,explosion_rate,post_explosion_change,post_explosion_change_abs,post_explosion_decrease,n_explosions,post_success_change,post_success_increase,resilience,max_consecutive_losses,pumps_after_consecutive_losses,cv
64000401.0,29.0,36.86206896551724,15.670090112629572,0.3793103448275862,4.7272727272727275,18.181818181818183,-12.333333333333334,11.0,-2.411764705882353,8.8,-4.7272727272727275,3.0,34.5,0.42510066722755624
64004701.0,30.0,51.56666666666667,21.698058602705373,0.5,10.5,24.928571428571427,-25.25,14.0,-11.066666666666666,23.333333333333332,-10.5,3.0,39.333333333333336,0.42077683133882426
64006401.0,30.0,33.1,11.757169492814102,0.23333333333333334,1.5714285714285714,16.714285714285715,-26.5,7.0,0.36363636363636365,7.0,-1.5714285714285714,3.0,30.0,0.35520149525118133
64006901.0,30.0,35.766666666666666,13.596864073884028,0.26666666666666666,-7.0,17.25,-24.25,8.0,2.2857142857142856,12.25,7.0,2.0,35.333333333333336,0.38015463393897564
64007901.0,30.0,37.03333333333333,17.86246948470323,0.3,-3.125,10.375,-10.8,8.0,-1.0952380952380953,8.444444444444445,3.125,2.0,30.0,0.482334909577945
64008701.0,30.0,43.86666666666667,18.04158669781327,0.4,5.333333333333333,23.666666666666668,-22.0,12.0,-4.235294117647059,16.166666666666668,-5.333333333333333,3.0,47.666666666666664,0.41128237153069763
64011501.0,30.0,41.43333333333333,15.943182162644456,0.43333333333333335,3.230769230769231,16.615384615384617,-17.4,13.0,-3.75,13.0,-3.230769230769231,2.0,46.0,0.3847912026382411
64015601.0,30.0,42.233333333333334,18.35038914053856,0.4,-2.4545454545454546,20.818181818181817,-21.333333333333332,11.0,0.3333333333333333,22.7,2.4545454545454546,2.0,59.5,0.4345001375028862
64016901.0,30.0,33.666666666666664,13.704601123492175,0.26666666666666666,15.142857142857142,21.428571428571427,-11.0,7.0,-2.8181818181818183,6.0,-15.142857142857142,2.0,,0.407067360103728
64018301.0,30.0,32.1,17.28932299585997,0.3,-5.777777777777778,12.222222222222221,-13.5,9.0,-1.25,5.2,5.777777777777778,2.0,30.0,0.5386081930174444
64020401.0,30.0,50.03333333333333,20.688966463633058,0.5,11.0,29.714285714285715,-21.833333333333332,14.0,-12.266666666666667,27.333333333333332,-11.0,3.0,32.5,0.4135036601658839
64020501.0,30.0,25.666666666666668,14.329456840136451,0.13333333333333333,3.5,10.5,-7.0,4.0,1.08,4.125,-3.5,2.0,23.0,0.5582905262390825
64021901.0,30.0,27.766666666666666,8.336390243915563,0.23333333333333334,3.0,6.333333333333333,-3.3333333333333335,6.0,0.13043478260869565,5.181818181818182,-3.0,2.0,30.0,0.3002301408372952
64022901.0,30.0,34.1,12.177848742696716,0.23333333333333334,9.714285714285714,17.428571428571427,-13.5,7.0,-2.090909090909091,9.25,-9.714285714285714,2.0,31.0,0.3571216640087013
64025601.0,30.0,26.933333333333334,15.602681761829263,0.23333333333333334,-7.333333333333333,14.666666666666666,-16.5,6.0,3.4782608695652173,8.3125,7.333333333333333,1.0,,0.5793074911570271
64026901.0,30.0,43.0,19.865062035019484,0.4,10.583333333333334,22.75,-14.6,12.0,-5.0,12.555555555555555,-10.583333333333334,4.0,59.5,0.46197818686091824
64027801.0,30.0,47.833333333333336,23.538791656405774,0.5666666666666667,-2.5294117647058822,19.352941176470587,-18.6,17.0,-3.9166666666666665,17.4,2.5294117647058822,3.0,49.5,0.4921001740015144
64029901.0,30.0,21.6,11.944122779238215,0.06666666666666667,11.0,11.0,0.0,1.0,-0.10714285714285714,7.923076923076923,-11.0,1.0,,0.5529686471869544
64031301.0,29.0,24.137931034482758,6.577690312884664,0.20689655172413793,3.3333333333333335,8.666666666666666,-4.0,6.0,-0.5454545454545454,3.5,-3.3333333333333335,1.0,,0.27250431296236466
64034901.0,30.0,24.9,12.718029558939898,0.13333333333333333,-4.0,13.5,-11.666666666666666,4.0,2.44,6.9411764705882355,4.0,1.0,,0.5107642393148554
64036201.0,30.0,37.4,17.35749862799043,0.36666666666666664,0.2,16.2,-13.333333333333334,10.0,1.4210526315789473,4.923076923076923,-0.2,4.0,29.5,0.46410424139011847
64036701.0,30.0,33.733333333333334,12.695188698556395,0.26666666666666666,3.75,11.25,-6.0,8.0,1.1428571428571428,8.076923076923077,-3.75,2.0,35.0,0.3763395859255848
64037701.0,30.0,42.166666666666664,19.39086762180684,0.36666666666666664,7.8,24.2,-20.5,10.0,-4.684210526315789,12.375,-7.8,2.0,24.0,0.459862473244431
64039601.0,30.0,36.833333333333336,20.736579928388306,0.3,6.333333333333333,21.88888888888889,-35.0,9.0,-0.3,21.0,-6.333333333333333,2.0,52.0,0.5629840704539811
64042701.0,30.0,32.63333333333333,17.107133687105677,0.3,3.3333333333333335,21.333333333333332,-20.25,9.0,-3.7,15.5,-3.3333333333333335,2.0,47.0,0.5242226870410319
64046301.0,30.0,35.733333333333334,10.02387953436893,0.26666666666666666,17.857142857142858,17.857142857142858,0.0,7.0,-6.2727272727272725,0.0,-17.857142857142858,2.0,40.0,0.28051901682002606
64047801.0,30.0,44.1,21.948764791260324,0.43333333333333335,0.6666666666666666,20.833333333333332,-20.166666666666668,12.0,-2.9411764705882355,17.11111111111111,-0.6666666666666666,3.0,41.0,0.4977044170353815
64049601.0,30.0,32.06666666666667,12.159665754631902,0.23333333333333334,4.857142857142857,10.0,-6.0,7.0,-1.4090909090909092,7.6923076923076925,-4.857142857142857,2.0,30.0,0.3791995557577516
