partid,mean_pumps,explosion_rate,omega_0,rho_0,alpha_minus,alpha_plus,sigma,COMPOSITE_approach,COMPOSITE_cognitive,COMPOSITE_externalizing,COMPOSITE_optimal
64080101,43.5,0.4,55.12419927117168,1.0081451735565792,0.0897201884439896,0.0387398658310012,1.7723298493935549,0.574798420887169,-0.003265569125664802,0.5289663646901832,0.6788919014560804
64081701,36.96666666666667,0.3333333333333333,56.99730887931456,0.9378861453274492,0.050645852469006,0.014508497057889,6.718443944221545,0.8367572503057611,0.4848311893693883,0.9741654358449039,0.36053347971220967
64082001,29.8,0.2666666666666666,67.09916333718026,0.6309858113772682,0.0996345839557318,0.0310417427605509,5.963439028925681,-0.0040006964142579315,0.6631726901906896,-0.13784046402804667,-1.0048452192952408
64082301,45.13333333333333,0.4333333333333333,103.520045772716,0.939461681729012,0.1463675327915625,0.0888922584570809,10.286451724331611,-0.06300136732620189,0.33840461921899667,0.5653110823097842,0.43710210241612585
64083001,37.06666666666667,0.3,62.36185924569974,0.8241992132754425,0.2202132241522134,0.0782052359381753,14.421819766884456,-0.6141631932265879,-0.3991120894025661,-0.7196163582854265,-0.43601909644616677
64083901,36.46666666666667,0.3,81.58530676085269,0.6284899015119165,0.0633889670387095,0.0208253769575905,17.76164497307822,0.632637952620058,0.07681093765463547,0.595378782599991,0.821543943603987
64084601,37.8,0.3666666666666666,42.54213738581795,0.8472672052906637,0.0687341294258745,0.0511710355932319,11.128955444414826,0.689019178698917,-0.06289752118196482,0.48306932329177626,1.04041713265001
64085501,31.266666666666666,0.1666666666666666,127.86369388967356,0.1,0.3159691184087836,0.0558885407033778,7.300311433403223,1.0638639386415012,1.0621739215811212,0.41650500292837617,0.2960812297863784
64086301,41.16666666666666,0.3666666666666666,74.21302475966233,0.8734102634809081,0.140711411392005,0.0770743886128913,10.806019885456523,0.6770185959494612,-0.1999538779383188,0.24720337679091392,0.3631408398646403
64088601,37.8,0.3333333333333333,33.61965423653752,0.9102045888601692,0.1046721121632356,0.0556222109500513,7.202767567206764,0.22862342690719428,0.773118948523561,0.5894641300343493,0.3349259940728327
64089401,33.46666666666667,0.1666666666666666,64.91856819042724,0.4270836953243909,0.0165098873021728,0.0143590905272538,8.373469212827347,0.5163053649804047,-0.38611837395469084,0.4870578359687747,0.5429083565962376
64089701,18.366666666666667,0.1333333333333333,20.12522123141944,1.096978465947696,0.4361686090252187,0.0449468203149908,2.6839547023601726,-1.1421508907170996,-0.0048026284147907996,0.025040548781857574,-0.5863665861372853
64090101,39.93333333333333,0.3666666666666666,57.4212989831412,0.8235676344903697,0.1203674409161033,0.081826457258591,10.175829554155351,-0.16360700608464157,-0.14303148009297165,-0.7460756672907535,-0.2987993011310903
64090301,35.96666666666667,0.3333333333333333,52.52694714048407,0.8409028268555165,0.0550499604470257,0.0264943922829461,2.91432364558646,0.27599723017894756,1.0120530782944517,-0.4331777145653662,0.2027437543717086
64090901,35.53333333333333,0.3666666666666666,13.333449437937803,0.8075551460185956,0.200387695924747,0.1018339480343318,5.52389352214286,0.7051207101050174,-0.2628774521964088,1.0073470899579924,0.21564644087892557
64092901,43.73333333333333,0.4,69.77724029098302,0.7363603184763137,0.0526012650487602,0.0441663993048146,5.309308498587519,-0.8564291444921699,0.23722256119699553,-0.8948817466721617,-0.3773675294603727
64093501,32.13333333333333,0.2666666666666666,24.95134992617106,1.118301803392916,0.135561973601921,0.0315142300428382,5.939661317365943,-0.41538206013189266,0.0809006637250326,-0.859756196042064,-0.2763066374199985
