id,n_trials,omega_0,rho_0,alpha_minus,alpha_plus,beta,loss_aversion,mean_pumps,explosion_rate,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
1,60,127.99988746167098,1.999999940474806,0.001001045905259429,0.21015308746641131,1.9999993845025597,0.004763412792683456,31.033333333333335,1.0,5.333333333333333,5.333333333333333,4.0,4.666666666666667,6.333333333333333
2,40,127.8971177197581,1.998900588653545,0.0011295980952975293,0.30155129263581926,1.9998213940116463,0.0037459567340065577,23.225,1.0,5.666666666666667,7.0,6.0,7.0,3.0
3,40,127.9481511425499,1.9932712996177526,0.0010243523557199874,0.14064618692769024,1.9987954786555686,0.007283186114719433,20.25,1.0,4.666666666666667,5.0,4.0,5.666666666666667,5.333333333333333
4,40,127.9999086670479,1.9999998740010545,0.0010000170495577665,0.26754772736574395,1.9999961331453973,0.0037377146104131172,28.5,1.0,6.666666666666667,7.0,4.666666666666667,6.666666666666667,2.3333333333333335
5,40,127.04496525086468,1.9960709639287069,0.0010441916467561485,0.22752426779368545,1.9986921963300732,0.004589363837456675,13.375,1.0,5.333333333333333,6.333333333333333,4.0,3.0,1.0
6,40,127.96936759546105,1.9997945624002607,0.0012025495788015872,0.1805712316890309,1.9989457131485482,0.006659696384375043,24.125,1.0,3.6666666666666665,5.666666666666667,3.0,6.666666666666667,5.0
7,40,127.98260499271264,1.9999147679502316,0.002318885975039958,0.25987716185117926,1.99999624211387,0.008923007926213566,28.7,1.0,4.666666666666667,6.666666666666667,6.0,5.333333333333333,3.6666666666666665
8,40,127.99993485158375,1.9999998687253817,0.0010000619804021171,0.02873554732096581,1.999993990908386,0.03480225969708465,31.575,1.0,4.333333333333333,4.333333333333333,6.666666666666667,5.0,3.6666666666666665
9,40,127.98500462334229,1.9994627065863866,0.0010256495493083662,0.2921780683235867,1.9999231973298184,0.003510357759544296,12.85,1.0,6.666666666666667,5.333333333333333,5.333333333333333,5.0,2.3333333333333335
10,40,127.99996338904836,1.9999978657678423,0.0010000261172565805,0.24793179468864696,1.9999963553751272,0.0040334726674019945,29.525,1.0,3.3333333333333335,6.333333333333333,3.6666666666666665,6.666666666666667,3.0
11,40,127.99984140192385,1.9999992778724183,0.001000006013516741,0.19721335419081895,1.9999982436777044,0.005070681027762243,23.75,1.0,6.0,6.0,5.666666666666667,6.0,2.3333333333333335
12,40,127.82799552907113,1.9907104887875717,0.0011934709366478446,0.10549956051086382,1.995972809139606,0.011312567852118654,9.95,1.0,6.0,4.666666666666667,4.0,3.3333333333333335,3.0
13,40,127.9272797890819,1.9979204938775528,0.0010751482150185843,0.12973884822134069,1.999937449978039,0.008287018343066603,10.275,1.0,7.0,6.333333333333333,6.666666666666667,5.333333333333333,4.333333333333333
