omega_0,rho_0,alpha_minus,alpha_plus,sigma,nll,aic,bic,n_trials,success,partid,mean_pumps,explosion_rate
49.31471669570379,1.4668294401101114,0.2848563751931581,0.1387612507864199,7.956173455069589,66.05094588947998,142.10189177895995,148.9383709288923,29,True,64000401,36.86206896551724,0.3793103448275862
39.5563274780238,1.6471730249530423,0.08231558564873385,0.01949600201205202,13.081320213886453,62.554170461773786,135.1083409235476,142.11432783185836,30,True,64004701,51.56666666666667,0.5
21.743787492923786,1.1050472394857642,0.15134157489887906,0.03898706170070846,6.8276378474571,78.110091852734,166.220183705468,173.22617061377878,30,True,64006401,33.1,0.23333333333333334
62.0082205463898,0.49785951537384265,0.08716315661708517,0.0447344660472399,11.065776854837665,86.56199084349967,183.12398168699934,190.12996859531012,30,True,64006901,35.766666666666666,0.26666666666666666
75.11135519380983,0.9040744697015066,0.16723708066862422,0.03713252129498633,7.231048502877113,74.79241226511348,159.58482453022697,166.59081143853774,30,True,64007901,37.03333333333333,0.3
95.40712513037815,0.6001604746763199,0.08066185066520391,0.06347712117174509,10.067488578954366,69.50159985223485,149.0031997044697,156.00918661278047,30,True,64008701,43.86666666666667,0.4
70.11106177244322,0.8952525369622985,0.11090202420192123,0.07811657102338153,10.14801364951185,66.3760006732088,142.7520013464176,149.75798825472836,30,True,64011501,41.43333333333333,0.43333333333333335
72.16959866747631,1.0303609996522758,0.19347406792226185,0.08773630437035122,12.757676433930392,74.45143423874396,158.9028684774879,165.9088553857987,30,True,64015601,42.233333333333334,0.4
49.67781890674144,0.49489075471472477,0.14211255844594642,0.06711041960911739,6.469586129469714,75.58998345098838,161.17996690197677,168.18595381028754,30,True,64016901,33.666666666666664,0.26666666666666666
128.0,0.7255929930566672,0.17334908985449418,0.024160455820832438,6.163979881462764,71.40135905729328,152.80271811458655,159.80870502289733,30,True,64018301,32.1,0.3
95.12167274574209,0.7097481381069609,0.10049480841821351,0.08665373335985264,11.597600539500887,60.9786243848896,131.9572487697792,138.96323567808997,30,True,64020401,50.03333333333333,0.5
7.333979884877328,1.0823872470971658,0.0918747725815731,0.011573044307047163,3.549439355928745,69.98921046678109,149.97842093356218,156.98440784187295,30,True,64020501,25.666666666666668,0.13333333333333333
18.932744493507833,1.0433571479637154,0.11098000788157468,0.021402962069677747,3.861018328210626,64.19763632093836,138.39527264187672,145.4012595501875,30,True,64021901,27.766666666666666,0.23333333333333334
58.810900388340556,0.40587899853223885,0.13405474023226818,0.05421417471647696,7.2881470608788534,79.28990007177298,168.57980014354595,175.58578705185673,30,True,64022901,34.1,0.23333333333333334
29.999999990584463,0.5383368754894783,0.4670040840775184,0.14081736152454238,5.757202163884001,75.73635663552254,161.47271327104508,168.47870017935585,30,True,64025601,26.933333333333334,0.23333333333333334
